,Smiles,pKa,basicOrAcidic
311,O=C(O)c1cccc([N+](=O)[O-])c1[N+](=O)[O-],1.85,acidic
314,O=C(O)c1c(O)cc(O)cc1O,1.68,acidic
315,O=C(O)c1cccc([N+](=O)[O-])c1O,1.87,acidic
317,Cc1cc(C)c(C(=O)O)c(C)c1,3.45,acidic
319,O=C(O)c1c([N+](=O)[O-])cccc1[N+](=O)[O-],1.14,acidic
321,O=C(O)c1cc([N+](=O)[O-])ccc1[N+](=O)[O-],1.62,acidic
325,O=C(O)c1c(Br)cc(Br)cc1Br,1.41,acidic
329,O=C(O)c1c(Cl)ccc(Cl)c1C(=O)O,1.46,acidic
330,Cc1c(C(=O)O)cc([N+](=O)[O-])cc1[N+](=O)[O-],2.97,acidic
333,O=C(O)c1cc(F)ccc1O,2.7,acidic
335,CC1(C)SC2C(NC(=O)c3ccccc3)C(=O)N2C1C(=O)O,2.74,acidic
336,COc1cccc(OC)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,2.77,acidic
339,O=C(O)CS,3.55,acidic
340,CC(Cl)(Cl)C(=O)O,1.79,acidic
344,O=C(O)C(Cl)(Cl)Cl,0.51,acidic
345,C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O,4,acidic
346,O=C(O)C(Cl)Cl,1.26,acidic
348,O=C(O)CO,3.83,acidic
353,O=C(O)Cc1c(Cl)ccc(Cl)c1Cl,3.7,acidic
355,CC1(C)SC2C(NC(=O)COc3ccccc3)C(=O)N2C1C(=O)O,2.79,acidic
357,O=C(O)C(O)c1ccccc1,3.41,acidic
358,O=C(O)COc1cc(Cl)c(Cl)cc1Cl,2.83,acidic
359,CC(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)O,2.84,acidic
360,O=C(O)CCCOc1ccc(Cl)cc1Cl,4.95,acidic
361,O=C(O)COc1ccc(Cl)cc1Cl,2.73,acidic
362,Cc1cc(Cl)ccc1OCC(=O)O,3.13,acidic
363,CCCC(C)C(=O)O,4.79,acidic
365,CCCC(CCC)C(=O)O,4.6,acidic
366,O=C(O)Cc1ccc(O)c(O)c1,4.25,acidic
368,O=C(O)Cc1ccc([N+](=O)[O-])cc1,3.85,acidic
372,CCC(C)C(=O)O,4.81,acidic
373,O=C(O)C(c1ccccc1)c1ccccc1,3.94,acidic
374,CC(Oc1ccc(Cl)cc1Cl)C(=O)O,3.1,acidic
375,O=C(O)COc1ccc(Cl)cc1,3.1,acidic
378,O=C(O)CC(=O)O,2.85,acidic
379,O=C(O)CCI,4.09,acidic
382,COc1cc(CC(=O)O)ccc1O,4.41,acidic
383,O=C(C=Cc1ccc(O)c(O)c1)OC1CC(O)(C(=O)O)CC(O)C1O,2.66,acidic
384,O=C(O)Cc1cccc(F)c1,4.13,acidic
385,O=C(O)COc1ccccc1F,3.08,acidic
387,O=C(O)COc1cccc(F)c1,3.13,acidic
388,O=C(O)COc1ccc(F)cc1,3.13,acidic
389,O=C(O)Cc1ccc(F)cc1,4.24,acidic
390,NC(=O)NCC(=O)O,3.89,acidic
391,O=C(O)C(O)CO,3.55,acidic
394,O=C(O)CCO,4.51,acidic
396,CC(C(=O)O)C(=O)O,3.12,acidic
397,O=C(O)CCCCCC1NC(=O)CS1,5.1,acidic
399,O=C(O)COc1cccc(Cl)c1,3.07,acidic
400,O=C(O)COc1ccc(Cl)c(Cl)c1,2.92,acidic
402,CC(C)(C(=O)O)C(=O)O,3.15,acidic
406,CCC(C(=O)O)C(=O)O,2.96,acidic
407,O=C(O)COc1ccccc1Cl,3.05,acidic
408,CCCC(C(=O)O)C(=O)O,2.99,acidic
409,CCCC(O)C(=O)O,3.89,acidic
410,Cc1ccc(CC(=O)O)cc1,4.37,acidic
415,O=C(O)COc1cccc(Br)c1,3.09,acidic
417,O=C(O)Cc1ccc(I)cc1,4.18,acidic
419,COc1ccc(OCC(=O)O)cc1,3.21,acidic
420,O=C(O)Cc1cccc([N+](=O)[O-])c1,3.97,acidic
421,O=C(O)COc1ccc(I)cc1,3.16,acidic
422,O=C(O)COc1cccc(I)c1,3.13,acidic
423,O=C(O)COc1ccccc1I,3.17,acidic
424,O=C(O)COc1ccc(Br)cc1,3.13,acidic
425,O=C(O)COc1cccc([N+](=O)[O-])c1,2.95,acidic
427,COc1ccccc1OCC(=O)O,3.23,acidic
428,N#Cc1ccc(OCC(=O)O)cc1,2.93,acidic
429,O=C(O)Cc1cccc(I)c1,4.16,acidic
430,O=C(O)Cc1ccc(Br)cc1,4.19,acidic
431,O=C(O)Cc1ccc(Cl)cc1,4.19,acidic
432,O=C(O)Cc1cccc(Cl)c1,4.14,acidic
434,N#Cc1cccc(OCC(=O)O)c1,3.03,acidic
435,O=C(O)COc1ccccc1Br,3.13,acidic
436,COc1cccc(OCC(=O)O)c1,3.14,acidic
438,O=C(O)COc1cccc2ccccc12,3.2,acidic
440,O=C(O)COc1ccccc1O,3.02,acidic
441,COc1ccc(C(O)C(=O)O)cc1,3.42,acidic
442,CCc1ccc(CC(=O)O)cc1,4.37,acidic
444,Cc1cc(Cl)ccc1OC(C)C(=O)O,3.68,acidic
445,O=C(O)CCOc1cccc2ccccc12,4,acidic
446,O=C(O)Cc1ccccc1I,4.04,acidic
447,CCCC(CC)C(=O)O,4.71,acidic
449,C=CCOc1ccc(CC(=O)O)cc1Cl,4.29,acidic
450,COc1ccc2cc(C(C)C(=O)O)ccc2c1,4.15,acidic
451,CC(C(=O)O)c1cccc(Oc2ccccc2)c1,4.5,acidic
452,CC(C)(C)c1ccc(CC(=O)O)cc1,4.42,acidic
454,CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1,4.7,acidic
455,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,3.91,acidic
456,CC(Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1)C(=O)O,3.43,acidic
457,O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CS2,3.71,acidic
458,CC(C(=O)O)N(C(=O)c1ccccc1)c1ccc(F)c(Cl)c1,3.72,acidic
459,O=C(O)COc1ccc(Cl)c([N+](=O)[O-])c1,2.96,acidic
460,O=C1CC(C(=O)O)CC(=O)C1=C(O)C1CC1,5.32,acidic
461,Cc1cc(=O)oc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc12,2.82,acidic
462,CCCCCC=CCC=CCCCCCCCC(=O)O,4.77,acidic
466,CC=C(C)C(=O)O,4.96,acidic
467,O=C(O)C(O)C(O)C(=O)O,3.06,acidic
468,Cc1cc(Cl)ccc1OC(C)C(=O)O,3.1,acidic
471,O=C(O)CCC(=O)O,4.21,acidic
472,O=C(O)C=CC(=O)O,3.03,acidic
473,O=C(O)CCCC(=O)O,4.34,acidic
475,O=C(O)CCCCCC(=O)O,4.51,acidic
476,O=C(O)CCSCCC(=O)O,4.11,acidic
477,CCCCCCCCC(=O)O,4.95,acidic
478,O=C(O)CCCCCCCC(=O)O,4.55,acidic
479,O=C(O)CCCCC(=O)O,4.44,acidic
480,CCCCCCCC(=O)O,4.89,acidic
482,O=C(O)C=Cc1ccccc1,4.44,acidic
485,O=C(O)C(=O)O,1.25,acidic
486,O=C(O)C1C2CCC(O2)C1C(=O)O,3.4,acidic
488,O=C(O)C=Cc1ccc(O)c(O)c1,4.62,acidic
490,O=C(O)C=Cc1ccc(O)cc1,4.64,acidic
492,O=C(O)CCCCCCC(=O)O,4.52,acidic
494,CCCCCCCCCCCCCC(=O)O,4.9,acidic
495,O=C(O)Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],3.5,acidic
496,O=C(O)C=Cc1ccc([N+](=O)[O-])cc1,4.05,acidic
497,COc1ccc(C=CC(=O)O)cc1,4.54,acidic
498,COc1ccccc1C=CC(=O)O,4.46,acidic
499,COc1cc(C=CC(=O)O)ccc1O,4.58,acidic
500,O=C(O)C(Cl)=C(Cl)Cl,1.15,acidic
501,COc1ccc(C=CC(=O)O)cc1OC,4.53,acidic
503,O=C(O)CCCO,4.72,acidic
504,O=C(O)C[N+](=O)[O-],1.48,acidic
505,O=C(O)CCCCl,4.52,acidic
506,O=C(O)Cc1ccccc1Cl,4.07,acidic
507,O=C(O)CCCBr,4.58,acidic
510,CCC(O)C(=O)O,3.68,acidic
511,CCC(Cl)C(=O)O,2.84,acidic
512,CCC(Br)C(=O)O,2.55,acidic
513,O=C(O)C(F)F,1.24,acidic
