,Smiles,basicOrAcidic,pKa
85,O=C(O)C#CC[NH+]1CCOCC1,acidic,1.79
86,Cc1ccc(S(=O)O)cc1,acidic,1.82
87,Cn1c[nH+]cc1CC([NH3+])C(=O)O,acidic,1.84
88,Cn1cnc2c(O)[nH+]cnc21,acidic,1.86
89,O=S(O)Cc1ccccc1,acidic,1.86
90,C#CC(=O)O,acidic,1.89
91,O=S(O)CCc1ccccc1,acidic,1.89
92,Nc1nc2c(ncn2C2OC(CO)C(O)C2O)c(O)[nH+]1,acidic,1.9
93,O=C(O)c1cccc2ccc[nH+]c12,acidic,1.9
94,O=C(O)C#CBr,acidic,1.9
95,N#CC(O)=C(C#N)C#N,acidic,1.9
96,CCC#CC#CC(=O)O,acidic,1.91
97,O=C(O)C1CC(O)C[NH2+]1,acidic,1.92
98,[NH3+]C(Cc1ccccc1)c1nnn[nH]1,acidic,1.93
99,CC1SC(C)(C(=O)O)OC1=O,acidic,1.94
100,C=C(C)C1C[NH2+]C(C(=O)O)C1CC(=O)OC,acidic,1.95
101,Cc1ccc(C=CC(=O)C(=O)O)cc1,acidic,1.96
102,O=C(O)C(=O)C=Cc1ccccc1,acidic,1.97
103,CC[NH+](CC)CC(=O)O,acidic,1.98
104,C[NH+](C)CC(=O)O,acidic,1.99
105,CC1CCC2C(C)CCC(C(=O)O)[NH+]2C1,acidic,2.0
106,[NH3+]CCNC(=S)S,acidic,2.0
107,O=[N+]([O-])c1n[nH]c(-n2cncn2)n1,acidic,2.0
108,C[n+]1cnc2nc[nH]c2c1O,acidic,2.0
109,C=C(C)C1C[NH2+]C(C(=O)O)C1CC(N)=O,acidic,2.01
110,O=c1c(O)c1-c1ccccc1,acidic,2.01
111,O=C(O)c1cccc([N+](=O)[O-])c1Cl,acidic,2.02
112,COc1cc[n+](O)cc1,acidic,2.05
113,O=S(O)CCCc1ccccc1,acidic,2.05
114,Sc1cccc2ccc[nH+]c12,acidic,2.05
115,O=C(O)c1ccc([N+](=O)[O-])o1,acidic,2.06
116,O=c1c(O)c1-c1ccc(F)cc1,acidic,2.07
117,Clc1nnn[nH]1,acidic,2.07
118,Cc1cc(C(N)=O)cc(C)[n+]1O,acidic,2.08
119,N[n+]1ccccc1O,acidic,2.1
120,O=C(O)Cn1nnnc1-c1ccccc1,acidic,2.11
121,O=C(O)Cn1ncnn1,acidic,2.12
122,Oc1[nH+]cnc2ccccc12,acidic,2.12
123,Cc1cccc([N+](=O)[O-])c1C(=O)O,acidic,2.13
124,Brc1nnn[nH]1,acidic,2.13
125,Cc1nnnn1CC(=O)O,acidic,2.16
126,O=C(O)c1cc(Cl)cc([N+](=O)[O-])c1,acidic,2.17
127,[NH3+]C(Cc1n[nH]c2ccccc12)C(=O)O,acidic,2.2
128,CCCCS(=O)O,acidic,2.2
129,[NH3+]C(Cn1cccn1)C(=O)O,acidic,2.2
130,CC(C)(C)c1ccc(-c2c(O)c2=O)cc1,acidic,2.21
131,Nc1nc[nH+]c(S)c1N,acidic,2.21
132,CCC[NH2+]C(C)C(=O)O,acidic,2.21
133,C[NH2+]C(C)C(=O)O,acidic,2.22
134,CC[NH2+]C(C)C(=O)O,acidic,2.22
135,O=C1COC(=O)C1Br,acidic,2.23
136,Cc1nnn(CC(=O)O)n1,acidic,2.23
137,CC(=O)N1CS(=O)(=O)CC1C(=O)O,acidic,2.23
138,N#CC(Cc1ccccc1)C(=O)O,acidic,2.24
139,C[NH2+]CC(=O)O,acidic,2.24
140,Oc1nccc[nH+]1,acidic,2.24
141,[NH3+]C(Cc1c[nH]c[nH+]1)C(=O)NC(Cc1c[nH]c[nH+]1)C(=O)O,acidic,2.25
142,Cc1n[nH]c(C(=O)O)c1[N+](=O)[O-],acidic,2.26
143,CC1(C)OC(=O)CC2C(C(=O)O)[NH2+]CC21,acidic,2.27
144,CCS(=O)O,acidic,2.27
145,O=C(O)Cn1cnnn1,acidic,2.27
146,CN(C)c1cccc[n+]1O,acidic,2.27
147,Oc1cc[nH+]c2ccccc12,acidic,2.27
148,CC(C#N)(Cc1ccccc1)C(=O)O,acidic,2.29
149,NC(=O)CN(CC(=O)O)CC(=O)O,acidic,2.29
150,C[n+]1cccc(C(=O)O)c1,acidic,2.29
151,CC(C)(C)C(=O)C(=O)O,acidic,2.3
152,Oc1onc(-c2ccccc2)c1Br,acidic,2.3
153,O=C1COC(=O)C1I,acidic,2.31
154,CC[NH2+]CC(=O)O,acidic,2.31
155,CCC[NH2+]CC(=O)O,acidic,2.31
156,CCCC[NH2+]CC(=O)O,acidic,2.32
157,CC(C)=CCC1C(=O)C(C(=O)CC(C)C)=C(O)C1O,acidic,2.35
158,CCCS(=O)O,acidic,2.35
159,CC(C)[NH2+]CC(=O)O,acidic,2.35
160,CS(=O)O,acidic,2.35
161,CC(C#N)C(=O)O,acidic,2.37
162,O=C(O)c1cc2cc(Cn3cc[nH+]c3)ccc2o1,acidic,2.38
163,Nc1nnnn1CC(=O)O,acidic,2.38
164,O=C(c1ccccc1)c1cccc([N+](=O)[O-])c1C(=O)O,acidic,2.39
165,CC(C)([NH3+])C(=O)O,acidic,2.39
166,COC(=O)CC1C(C(=O)O)[NH2+]CC1C(C)O,acidic,2.4
167,C[n+]1cc(S)cc2ccccc21,acidic,2.4
168,Oc1cc[n+](O)cc1,acidic,2.4
169,NC1=[NH+]C(C(=O)O)C(C(O)C[NH3+])N1,acidic,2.4
170,C=C1CC1CC([NH3+])C(=O)O,acidic,2.4
171,Cc1cc(O)[nH+]c2c1CCO2,acidic,2.42
172,O=C(S)c1ccccc1,acidic,2.44
173,CC(C)C12C[NH2+]C(C(=O)O)C1CC(=O)O2,acidic,2.45
174,N#CCC(=O)O,acidic,2.46
175,[NH3+]C(CCCCN1C(=O)CC([NH3+])C1=O)C(=O)O,acidic,2.5
176,O=C(O)C1CCCC[NH2+]1,acidic,2.5
177,CC(=O)N1CS(=O)CC1C(=O)O,acidic,2.5
178,O=[N+]([O-])c1cc([N+](=O)[O-])c2cn[nH]c2c1O,acidic,2.5
179,C=CC(Cl)C(=O)O,acidic,2.54
180,CC(C)(C)CC#CC(=O)O,acidic,2.54
181,Cc1cc(C(O)=C(C#N)C#N)cc(C)c1O,acidic,2.55
182,Cc1ccc([N+](=O)[O-])c(C(=O)O)c1,acidic,2.55
183,O=C(O)CF,acidic,2.56
184,CO[n+]1ccc(O)cc1,acidic,2.57
185,Cc1cccc(Cl)c1C(=O)O,acidic,2.59
186,Cc1ccc(C(=O)S)cc1,acidic,2.59
187,CCC#CC(=O)O,acidic,2.6
188,CNc1cccc[n+]1O,acidic,2.61
189,[NH3+]CC(=O)NC(Cc1c[nH]c[nH+]1)C(=O)O,acidic,2.61
190,CC1(C)SC2C(NC(=O)Cc3ccc(O)cc3)C(=O)N2C1C(=O)O,acidic,2.62
191,[NH3+]Cc1nnn[nH]1,acidic,2.62
192,O=C(O)C12C[NH2+]CCC1O2,acidic,2.63
193,Cn1c[nH+]cc1CC(NC(=O)CC[NH3+])C(=O)O,acidic,2.64
194,Oc1[nH+]ccc2cccnc12,acidic,2.64
195,CC(C)(C)C#CC(=O)O,acidic,2.66
196,[NH3+]C1(C(=O)O)CCCCC1,acidic,2.66
197,Nc1cccc[n+]1O,acidic,2.67
198,O=C(O)c1ccc([N+](=O)[O-])s1,acidic,2.68
199,O=C(O)c1sccc1[N+](=O)[O-],acidic,2.68
200,Cc1ccc(C(=O)O)c([N+](=O)[O-])c1,acidic,2.68
201,NC(=[NH2+])NOCC(=O)O,acidic,2.69
202,O=C(O)c1cc(Cl)co1,acidic,2.69
203,CC1(CC2CCOC2)CC2C34COC(=O)CC3OC(C)(C)C4CC(=O)C2(C)C2(C1)OC2C(=O)O,acidic,2.7
204,O=C(O)c1cnccn1,acidic,2.7
205,Cc1cccc(I)c1C(=O)O,acidic,2.7
206,c1ccc(-c2nnn[nH]2)c(-c2nnn[nH]2)c1,acidic,2.71
207,O=C1CC(=O)CS(=O)(=O)C1,acidic,2.72
208,O=P1(O)CCCCC1,acidic,2.73
209,O=C(O)c1cc([N+](=O)[O-])ccc1F,acidic,2.73
210,O=C(O)c1cc2cc(Cn3cc[nH+]c3)ccc2s1,acidic,2.74
211,O=C(O)c1ccc(Cl)cc1Cl,acidic,2.74
212,CC(C)CS(=O)O,acidic,2.75
213,CC(C)CC([NH3+])C(=O)NC(Cc1c[nH]c[nH+]1)C(=O)O,acidic,2.76
214,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,acidic,2.76
215,C=CC1(O)C[NH+]2CCC1CC2C(O)c1cc(O)[nH+]c2ccccc12,acidic,2.76
216,CCN(CC)S(=O)(=O)c1ccsc1C(=O)O,acidic,2.77
217,O=C(O)C(=O)C(c1ccccc1)c1ccccc1,acidic,2.78
218,[NH3+]CC(O)C(=O)O,acidic,2.78
219,O=C(O)CC(c1[nH]cc[nH+]1)c1[nH]cc[nH+]1,acidic,2.79
220,Cc1ccc(OCC(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O)O)cc1,acidic,2.8
221,O=C(O)c1ccnnc1,acidic,2.8
222,CC[NH+](CC)Cc1cc([N+](=O)[O-])c2ccccc2c1O,acidic,2.82
223,OCCNC(=S)S,acidic,2.82
224,CC(C)C(Br)C(=O)O,acidic,2.82
225,O=C(O)c1cc([N+](=O)[O-])cs1,acidic,2.83
226,Cc1ccc(Sc2ccc([N+](=O)[O-])cc2C(=O)O)cc1,acidic,2.84
227,CCC=CCC(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,acidic,2.84
228,CS(=O)(=O)c1ccc(NS(=O)(=O)C(F)(F)F)cc1,acidic,2.84
229,O=C(O)c1cc2ccccc2o1,acidic,2.84
230,O=C(OC1OC(C(=O)O)C(O)C(O)C1O)c1ccccc1,acidic,2.85
231,COCCNC(=S)S,acidic,2.85
232,O=C(O)c1ncccn1,acidic,2.85
233,CCn1nnnc1CC(=O)O,acidic,2.85
234,Oc1cc[nH+]c2cccnc12,acidic,2.85
235,Ic1nnn[nH]1,acidic,2.85
236,O=C(O)c1cc([N+](=O)[O-])ccc1C(=O)c1ccccc1,acidic,2.86
237,O=C(O)c1cc[n+]([O-])cc1,acidic,2.86
238,O=C(O)c1cccc([N+](=O)[O-])c1C(=O)c1ccccc1,acidic,2.87
239,CN(C)C(=S)OCC(=O)O,acidic,2.87
240,CC(Cl)C(=O)O,acidic,2.88
241,O=C1Cc2c1cc([N+](=O)[O-])c(O)c2Br,acidic,2.88
242,O=C(O)COc1ccc([N+](=O)[O-])cc1,acidic,2.89
243,Cc1cccc(C(=O)O)c1Br,acidic,2.9
244,O=C(O)COc1ccccc1[N+](=O)[O-],acidic,2.9
245,O=C(O)CC1[NH2+]Nc2ccccc21,acidic,2.9
246,[NH3+]CC(=O)NCC(=O)NCC(=O)N1CCCC1C(=O)O,acidic,2.91
247,COc1cc2c(O)cc(C)[nH+]c2c2c(C)c(C)oc12,acidic,2.91
248,Cc1cccc(C(=O)O)c1[N+](=O)[O-],acidic,2.91
249,O=C(O)C1(O)c2ccccc2-c2ccccc21,acidic,2.92
250,Cc1cccc(C(=O)O)c1I,acidic,2.92
251,O=C(O)c1ccccc1Br,acidic,2.93
252,O=C(O)c1ccc(I)o1,acidic,2.94
253,CC(=O)N1CSCC1C(=O)O,acidic,2.94
254,CC(=O)NC(Cc1c[nH]c[nH+]1)C(=O)O,acidic,2.94
255,CC1(C(=O)O)CCC=[N+]1[O-],acidic,2.95
256,[NH3+]CC(=O)N1CCCC1C(=O)O,acidic,2.95
257,S=C(S)NC1CCCCC1,acidic,2.95
258,O=C(O)c1ccccc1Cl,acidic,2.95
259,Cc1ccc(I)c(C(=O)O)c1,acidic,2.95
260,CCN(CC)S(=O)(=O)c1ccccc1C(=O)O,acidic,2.96
261,Nc1c[nH+]c(S)nc1N,acidic,2.96
262,[NH3+]c1cccc(OC2OC(C(=O)O)C(O)C(O)C2O)c1,acidic,2.97
263,CC(Br)C(=O)O,acidic,2.97
264,S=C(S)N1CCCC1,acidic,2.97
265,CSC(=S)N(C)CC(=O)O,acidic,2.98
266,O=[N+]([O-])c1ccccc1-c1nnn[nH]1,acidic,2.98
267,Cc1c(C(=O)O)cccc1[N+](=O)[O-],acidic,2.98
268,O=C(O)c1cncs1,acidic,2.99
269,O=C(O)C(O)Cc1c[nH]c[nH+]1,acidic,2.99
270,C[n+]1c2ccccc2nc2ccc(O)cc21,acidic,3.0
271,O=C(O)c1c2ccccc2[nH+]c2ccccc12,acidic,3.0
272,O=C(O)C1OC(Oc2ccc3[nH+]cccc3c2)C(O)C(O)C1O,acidic,3.0
273,O=C(O)C1OC(Oc2c[nH+]c3ccccc3c2)C(O)C(O)C1O,acidic,3.0
274,O=[N+]([O-])c1cc(C[NH+]2CCOCC2)c(O)c2ccccc12,acidic,3.0
275,O=C(O)c1cnc(Cl)s1,acidic,3.0
276,O=C1CC(=O)C(=O)C1,acidic,3.0
277,NC(=O)C1CC(=O)NC1C(=O)O,acidic,3.0
278,CC(=O)c1ccc(C(=O)O)s1,acidic,3.0
279,Cc1cccc(C(=O)O)c1Cl,acidic,3.0
280,O=C(O)C1OC(Oc2cccc3ccc[nH+]c23)C(O)C(O)C1O,acidic,3.01
281,CN(C)C(=O)OCC(=O)O,acidic,3.01
282,Cc1cnc(C(=O)O)s1,acidic,3.03
283,O=C(O)C(O)c1cccc([N+](=O)[O-])c1,acidic,3.03
284,CC(C)=C(C#N)C(=O)O,acidic,3.04
285,[NH3+]C(CCc1ccc([N+](=O)[O-])cc1)C(=O)O,acidic,3.05
286,O=C(O)C(O)(c1ccccc1)c1ccccc1,acidic,3.05
287,CC(C)CCC([NH3+])C(=O)O,acidic,3.06
288,N#CC(=CC(=O)O)c1ccccc1,acidic,3.07
289,O=P1(O)CCC1,acidic,3.07
290,Cn1cnc2c(O)[nH+]c(N)nc21,acidic,3.07
291,CP(C)(=O)O,acidic,3.08
292,O=[N+]([O-])c1ccc(-c2nnn[nH]2)cc1,acidic,3.08
293,CC(=O)CC(=O)O,acidic,3.09
294,[NH3+]c1cccc(C(=O)O)c1,acidic,3.09
295,Cc1ccc(C(=O)O)c(Br)c1,acidic,3.09
296,O=C(O)C#COc1ccccc1,acidic,3.09
297,[NH3+]c1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc1,acidic,3.1
298,CC1(C)SC2C(C(=O)[O-])[NH+]=C(CCCC([NH3+])C(=O)[O-])N2C1C(=O)O,acidic,3.1
299,O=C(O)C1OC(Oc2cccc3[nH+]cccc23)C(O)C(O)C1O,acidic,3.1
300,CC(C)NC(=S)S,acidic,3.1
301,CCNc1cc[nH+]c(S)n1,acidic,3.1
302,Cc1c(Cl)c([N+](=O)[O-])cc2c1nnn2O,acidic,3.1
303,CC1(C)CC(=O)C(Br)C(=O)C1,acidic,3.1
304,O=C(O)c1cc2ccccc2s1,acidic,3.1
305,O=C(O)Cc1nnnn1-c1ccccc1,acidic,3.1
306,C[N+](C)(C)NC(=O)c1ccc([N+](=O)[O-])cc1,acidic,3.11
307,Cc1ccc2ccccc2c1C(=O)O,acidic,3.11
308,O=C(O)c1cc(Br)cs1,acidic,3.11
309,O=C1CC(=O)CS(=O)C1,acidic,3.12
310,Cc1ccc(Cl)c(C(=O)O)c1,acidic,3.12
311,COc1c(C)cc2c(c1C(=O)O)COC2,acidic,3.13
312,CS(=O)(=O)Nc1ccc(CC([NH3+])C(=O)O)cc1,acidic,3.15
313,Nc1nc2c(ncn2C2C=CC(CO)C2)c(O)[nH+]1,acidic,3.15
314,O=C(O)C1COCCO1,acidic,3.15
315,O=C(O)COc1ccccc1,acidic,3.15
316,Cc1ccc(OCC(=O)O)cc1,acidic,3.15
317,C[N+](C)(C)NC(=O)c1cccc([N+](=O)[O-])c1,acidic,3.16
318,O=C(O)CI,acidic,3.16
319,CC(=O)N(C)CC(=O)O,acidic,3.16
320,Cc1c([N+](=O)[O-])cc(Cl)c2nnn(O)c12,acidic,3.17
321,Cc1ccccc1OCC(=O)O,acidic,3.17
322,O=C(O)c1ccco1,acidic,3.18
323,O=C(O)CSc1ccccc1[N+](=O)[O-],acidic,3.18
324,O=C1C=C(O)C(=O)c2ccccc21,acidic,3.19
325,CSC(=S)NCC(=O)O,acidic,3.19
326,CC(=O)N1CC2(C(C)C)OC(=O)CC2C1C(=O)O,acidic,3.2
327,CCCCNc1cc[nH+]c(S)n1,acidic,3.2
328,O=C(O)c1cccc(=O)cc1,acidic,3.2
329,Cc1ccc(C(=O)O)c(I)c1,acidic,3.2
330,Cc1cc(-c2c(C)noc2O)on1,acidic,3.2
331,Cc1cccc([NH3+])c1C(=O)O,acidic,3.2
332,CC(I)C(=O)O,acidic,3.21
333,Cc1c(Cl)cc2nnn(O)c2c1[N+](=O)[O-],acidic,3.21
334,C[n+]1cccc2c(S)cccc21,acidic,3.22
335,N#Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc1,acidic,3.22
336,CCP(=O)(O)CC,acidic,3.22
337,CC=C(Cl)C(=O)O,acidic,3.22
338,CCCCCP(=O)(O)CCCCC,acidic,3.23
339,CNC(=O)C=C(C)C(=O)O,acidic,3.23
340,CC#CC#CCC(=O)O,acidic,3.23
341,O=C(O)C12CC3(F)CC(F)(CC(F)(C3)C1)C2,acidic,3.24
342,CCCCCCP(=O)(O)CCCCCC,acidic,3.24
343,O=C(O)c1csc([N+](=O)[O-])c1,acidic,3.24
344,CCC(C)CC([NH3+])C(=O)O,acidic,3.25
345,O=[N+]([O-])c1cccc(-c2nnn[nH]2)c1,acidic,3.25
346,CC(C)CP(=O)(O)CC(C)C,acidic,3.25
347,CC(C)CCP(=O)(O)CCC(C)C,acidic,3.26
348,Cc1ncc(C(=O)O)s1,acidic,3.26
349,O=C(O)c1ccc(=O)oc1,acidic,3.26
350,CC(=O)c1c(C(=O)O)cccc1[N+](=O)[O-],acidic,3.26
351,Cc1ccc(C(=O)O)c(Cl)c1,acidic,3.27
352,CC(=O)c1ccc([N+](=O)[O-])cc1C(=O)O,acidic,3.27
353,O=C(O)c1csc(Br)n1,acidic,3.28
354,O=C(O)[c+]1cccccc1,acidic,3.29
355,[NH3+]c1ccccc1OC1OC(C(=O)O)C(O)C(O)C1O,acidic,3.3
356,Oc1onc2c1CC[NH+](Cc1ccccc1)CC2,acidic,3.3
357,O=C(O)c1csc(Cl)n1,acidic,3.3
358,O=C(O)c1ccc(Br)s1,acidic,3.3
359,O=C(O)Cn1cccc1,acidic,3.3
360,Oc1onc2c1CC[NH2+]CC2,acidic,3.3
361,CC1CCCC(C(=O)O)c2nnnn21,acidic,3.3
362,Cc1cc2ccccc2c(C(=O)O)c1C,acidic,3.33
363,CCCP(=O)(O)CCC,acidic,3.33
364,O=C(O)c1ccc(Cl)c([N+](=O)[O-])c1,acidic,3.33
365,O=C(O)C=CC(=O)c1ccccc1,acidic,3.34
366,CN(C)C(=S)SCC(=O)O,acidic,3.34
367,Cc1cccc(O)c1C(=O)O,acidic,3.35
368,Cc1c(Br)cccc1C(=O)O,acidic,3.36
369,Cc1ccccc1OC(C)C(=O)O,acidic,3.37
370,CCC(CC)C(=O)OC1OC(C(=O)O)C(O)C(O)C1O,acidic,3.37
371,O=C(O)C1CCc2ccccc2O1,acidic,3.38
372,CCc1ccc(C(=O)C=CC(=O)O)cc1,acidic,3.38
373,CC(O)(c1ccccc1)C(C(=O)O)c1ccc(-c2ccccc2)cc1,acidic,3.38
374,O=C(O)C1CC[NH2+]C1,acidic,3.38
375,c1cc(-c2nn[nH]n2)cc(-c2nnn[nH]2)c1,acidic,3.38
376,O=C(O)c1cnoc1,acidic,3.39
377,O=C(O)Cn1ccc2ccccc21,acidic,3.4
378,CC(C)c1ccc(C(=O)C=CC(=O)O)cc1,acidic,3.4
379,O=[N+]([O-])c1ccc(S)c([N+](=O)[O-])c1,acidic,3.4
380,O=C(O)CSc1cccc([N+](=O)[O-])c1,acidic,3.4
381,C=C(SC1CCCCC1)C(=O)O,acidic,3.4
382,CC(C)CN(CC(C)C)C(=S)S,acidic,3.4
383,CCC(C)(O)C(C(=O)O)c1ccc(-c2ccccc2)cc1,acidic,3.41
384,O=C(O)c1ccc(Cl)s1,acidic,3.41
385,C=CC#CCC(=O)O,acidic,3.41
386,CC(C)(C)c1ccc(C(=O)C=CC(=O)O)cc1,acidic,3.42
387,Cc1ccc(C(=O)O)o1,acidic,3.42
388,C=C(C)C(C)(C(N)=O)C(=O)O,acidic,3.42
389,CCC(Oc1ccccc1C)C(=O)O,acidic,3.43
390,O=C(O)c1ccc[se]1,acidic,3.43
391,O=C(O)c1ccc([N+](=O)[O-])cc1,acidic,3.43
392,Cc1c(Cl)cccc1C(=O)O,acidic,3.43
393,C[N+]1(CCC(=O)O)CCCCC1,acidic,3.43
394,O=C(O)CC#Cc1ccccc1,acidic,3.44
395,Cc1ccc(C(=O)C=CC(=O)O)cc1,acidic,3.44
396,Cc1cc(C(C)(C)C)cc(C)c1C(=O)O,acidic,3.44
397,Cn1nnc(CC(=O)O)n1,acidic,3.44
398,N#CC(C#N)=C(C#N)Nc1cccc([N+](=O)[O-])c1,acidic,3.45
399,CC1CCC(O)(C(C(=O)O)c2ccc(-c3ccccc3)cc2)CC1,acidic,3.45
400,O=C(O)C[Se]c1ccccc1[N+](=O)[O-],acidic,3.45
401,O=C(O)c1ccccc1-c1ccccc1,acidic,3.46
402,O=C(O)c1cccs1,acidic,3.46
403,Cc1ccccc1SCC(=O)O,acidic,3.46
404,COc1cccc(C)c1C(=O)O,acidic,3.46
405,O=P(O)(C1CCCCC1)C1CCCCC1,acidic,3.47
406,O=C(O)c1cccc([N+](=O)[O-])c1,acidic,3.47
407,CC(C)C(C(=O)O)N1CC(NC(=O)Cc2ccccc2)C1=O,acidic,3.48
408,O=Cc1cc([N+](=O)[O-])cc(Br)c1O,acidic,3.48
409,CC(C)(C)OOCC(=O)O,acidic,3.49
410,[NH3+]c1ccc(CC(=O)O)cc1,acidic,3.49
411,O=C(O)CSC=Cc1ccccc1,acidic,3.5
